short_name,sector,current_price,market_cap
Saudi Arabian Oil Co.,Energy,25.6,6191480045568.0
Al Rajhi Bank,Financial Services,107.0,427999985664.0
Saudi Arabian Mining Co.,Basic Materials,72.55,281559072768.0
The Saudi National Bank,Financial Services,43.5,258563997696.0
Saudi Telecom Co.,Communication Services,44.28,220948070400.0
Saudi Basic Industries Corp.,Basic Materials,55.5,166500007936.0
ACWA POWER Co.,Utilities,187.2,143413788672.0
Dr. Sulaiman Al Habib Medical S,Healthcare,255.0,89249996800.0
Riyad Bank,Financial Services,28.76,86136987648.0
Saudi Awwal Bank,Financial Services,35.8,73561645056.0
